"Date","Symbol","Marketcapname","Sector"
"26-12-2025","BAJFINANCE","Largecap","Financials"
"26-12-2025","SUNPHARMA","Largecap","Healthcare"
"26-12-2025","BHARTIARTL","Largecap","Telecom-Service"
"26-12-2025","MARUTI","Largecap","Auto"
"26-12-2025","UNOMINDA","Largecap","Auto"
"26-12-2025","MOTILALOFS","Largecap","Financials"
"26-12-2025","BAJAJFINSV","Largecap","Financials"
"26-12-2025","IEX","Midcap","Financials"
"26-12-2025","WAAREEENER","Largecap","Industrials"
"29-12-2025","ABB","Largecap","Industrials"
"29-12-2025","LICHSGFIN","Largecap","Financials"
"29-12-2025","SHREECEM","Largecap","Building Materials"
"29-12-2025","AMBUJACEM","Largecap","Building Materials"
"29-12-2025","CONCOR","Largecap","Transportation"
"29-12-2025","PETRONET","Largecap","Energy"
"29-12-2025","FORTIS","Largecap","Healthcare"
"29-12-2025","ADANIPORTS","Largecap","Transportation"
"29-12-2025","PGEL","Midcap","Consumer Discretionary"
"29-12-2025","NBCC","Largecap","Miscellaneous"
"29-12-2025","ALKEM","Largecap","Healthcare"
"29-12-2025","SBILIFE","Largecap","Financials"
"29-12-2025","MANKIND","Largecap","Healthcare"
"29-12-2025","PREMIERENE","Largecap","Services"
"29-12-2025","WAAREEENER","Largecap","Industrials"
"30-12-2025","AMBUJACEM","Largecap","Building Materials"
"30-12-2025","INDHOTEL","Largecap","Services"
"30-12-2025","PIIND","Largecap","Chemicals"
"30-12-2025","SUNPHARMA","Largecap","Healthcare"
"30-12-2025","COFORGE","Largecap","I.T"
"30-12-2025","SOLARINDS","Largecap","Aerospace & Defence"
"30-12-2025","NAUKRI","Largecap","I.T"
"30-12-2025","PAGEIND","Largecap","Consumer Discretionary"
"30-12-2025","ASTRAL","Largecap","Plastic products"
"30-12-2025","RECLTD","Largecap","Financials"
"30-12-2025","OBEROIRLTY","Largecap","Realty"
"30-12-2025","TIINDIA","Largecap","Industrials"
"30-12-2025","POWERINDIA","Largecap","Industrials"
"30-12-2025","MAXHEALTH","Largecap","Healthcare"
"30-12-2025","MAZDOCK","Largecap","Aerospace & Defence"
"30-12-2025","ETERNAL","Largecap","I.T"
"30-12-2025","IREDA","Largecap","Financials"
"31-12-2025","BHARATFORG","Largecap","Industrials"
"31-12-2025","DIVISLAB","Largecap","Healthcare"
"31-12-2025","TECHM","Largecap","I.T"
