"Date","Symbol","Marketcapname","Sector"
"29-12-2025","SAIL","Largecap","Metals & Mining"
"29-12-2025","GREAVESCOT","Smallcap","Industrials"
"29-12-2025","RESPONIND","Smallcap","Plastic products"
"29-12-2025","BIRLANU","Smallcap","Building Materials"
"29-12-2025","PNB","Largecap","Bank"
"29-12-2025","MIDHANI","Midcap","Aerospace & Defence"
"29-12-2025","ETERNAL","Largecap","I.T"
"29-12-2025","GOLDADD","Smallcap","Indices"
"29-12-2025","SURAJEST","Smallcap","Realty"
"29-12-2025","JSFB","Midcap","Bank"
"29-12-2025","SHREEJISPG","Midcap","Transportation"
"30-12-2025","BHARATFORG","Largecap","Industrials"
"30-12-2025","SHRIRAMFIN","Largecap","Financials"
"30-12-2025","JAMNAAUTO","Smallcap","Auto"
"30-12-2025","ICIL","Midcap","Textiles"
"30-12-2025","NATIONALUM","Largecap","Metals & Mining"
"30-12-2025","KIOCL","Largecap","Metals & Mining"
"30-12-2025","GICRE","Largecap","Financials"
"30-12-2025","GOLD1","Smallcap","Indices"
"30-12-2025","IIFLCAPS","Midcap","Financials"
"30-12-2025","MUFIN","Smallcap","Financials"
"30-12-2025","PARADEEP","Midcap","Chemicals"
"30-12-2025","TVSSCS","Midcap","Transportation"
"30-12-2025","GROWWLIQID","Smallcap","Indices"
"30-12-2025","LAXMIDENTL","Smallcap","Healthcare"
"31-12-2025","CHENNPETRO","Largecap","Energy"
"31-12-2025","IDBI","Largecap","Bank"
"31-12-2025","MFSL","Largecap","Financials"
"31-12-2025","RELIANCE","Largecap","Energy"
"31-12-2025","PIDILITIND","Largecap","Chemicals"
"31-12-2025","JINDALSAW","Midcap","Industrials"
"31-12-2025","DEEPAKFERT","Midcap","Chemicals"
"31-12-2025","WALCHANNAG","Smallcap","Industrials"
"31-12-2025","ADANIENT","Largecap","Services"
"31-12-2025","PENIND","Smallcap","Metals & Mining"
"31-12-2025","JMFINANCIL","Midcap","Financials"
"31-12-2025","AQYLON","Smallcap","Media"
"31-12-2025","SHAKTIPUMP","Midcap","Industrials"
"31-12-2025","RAJESHEXPO","Smallcap","Consumer Discretionary"
"31-12-2025","GAIL","Largecap","Energy"
"31-12-2025","JINDALSTEL","Largecap","Metals & Mining"
"31-12-2025","DSSL","Smallcap","I.T"
"31-12-2025","MOSCHIP","Smallcap","I.T"
"31-12-2025","GSPL","Midcap","Energy"
"31-12-2025","PFC","Largecap","Financials"
"31-12-2025","EDELWEISS","Midcap","Financials"
"31-12-2025","TARIL","Midcap","Industrials"
"31-12-2025","GLOBUSSPR","Smallcap","FMCG"
"31-12-2025","WABAG","Midcap","Realty"
"31-12-2025","PGEL","Midcap","Consumer Discretionary"
"31-12-2025","GPTINFRA","Smallcap","Realty"
"31-12-2025","BANKBEES","Smallcap","Indices"
"31-12-2025","BSE","Largecap","Financials"
"31-12-2025","IEX","Midcap","Financials"
"31-12-2025","APOLLO","Midcap","Aerospace & Defence"
"31-12-2025","HAL","Largecap","Aerospace & Defence"
